Player,Player_url,Team,Team_abbr,Player_pos,Player_hand
Reid Detmers,https://www.fangraphs.com/players/reid-detmers/27468/,angels,LAA,SP,L
Patrick Sandoval,https://www.fangraphs.com/players/patrick-sandoval/19447/,angels,LAA,SP,L
José Suarez,https://www.fangraphs.com/players/jose-suarez/19911/,angels,LAA,SP,L
Noah Syndergaard,https://www.fangraphs.com/players/noah-syndergaard/11762/,angels,LAA,SP,R
Raisel Iglesias,https://www.fangraphs.com/players/raisel-iglesias/17130/,angels,LAA,RP,R
Ryan Tepera,https://www.fangraphs.com/players/ryan-tepera/10291/,angels,LAA,RP,R
Aaron Loup,https://www.fangraphs.com/players/aaron-loup/10343/,angels,LAA,RP,L
José Quijada,https://www.fangraphs.com/players/jose-quijada/19200/,angels,LAA,RP,L
Austin Warren,https://www.fangraphs.com/players/austin-warren/24937/,angels,LAA,RP,R
Andrew Wantz,https://www.fangraphs.com/players/andrew-wantz/24933/,angels,LAA,RP,R
Jose Marte,https://www.fangraphs.com/players/jose-marte/21761/,angels,LAA,RP,R
Jaime Barría,https://www.fangraphs.com/players/jaime-barria/18356/,angels,LAA,RP,R
Elvis Peguero,https://www.fangraphs.com/players/elvis-peguero/21652/,angels,LAA,RP,R
Anthony Rendon,https://www.fangraphs.com/players/anthony-rendon/12861/,angels,LAA,3B,R
Matt Duffy,https://www.fangraphs.com/players/matt-duffy/13836/,angels,LAA,INF,R
David Fletcher,https://www.fangraphs.com/players/david-fletcher/17992/,angels,LAA,INF,R
Griffin Canning,https://www.fangraphs.com/players/griffin-canning/19867/,angels,LAA,SP,R
Cooper Criswell,https://www.fangraphs.com/players/cooper-criswell/24975/,angels,LAA,SP,R
Michael Lorenzen,https://www.fangraphs.com/players/michael-lorenzen/14843/,angels,LAA,SP,R
Chris Rodriguez,https://www.fangraphs.com/players/chris-rodriguez/22310/,angels,LAA,SP,R
Archie Bradley,https://www.fangraphs.com/players/archie-bradley/12918/,angels,LAA,RP,R
Jimmy Herget,https://www.fangraphs.com/players/jimmy-herget/17556/,angels,LAA,RP,R
Luis Arraez,https://www.fangraphs.com/players/luis-arraez/18568/,twins,MIN,1B,L
Carlos Correa,https://www.fangraphs.com/players/carlos-correa/14162/,twins,MIN,SS,R
Byron Buxton,https://www.fangraphs.com/players/byron-buxton/14161/,twins,MIN,CF,R
Max Kepler,https://www.fangraphs.com/players/max-kepler/12144/,twins,MIN,RF,L
Jorge Polanco,https://www.fangraphs.com/players/jorge-polanco/13152/,twins,MIN,2B,S
Alex Kirilloff,https://www.fangraphs.com/players/alex-kirilloff/20325/,twins,MIN,LF,L
Jose Miranda,https://www.fangraphs.com/players/jose-miranda/20538/,twins,MIN,DH,R
Gio Urshela,https://www.fangraphs.com/players/gio-urshela/10681/,twins,MIN,3B,R
Ryan Jeffers,https://www.fangraphs.com/players/ryan-jeffers/24618/,twins,MIN,C,R
Gary Sánchez,https://www.fangraphs.com/players/gary-sanchez/11442/,twins,MIN,C,R
Nick Gordon,https://www.fangraphs.com/players/nick-gordon/16337/,twins,MIN,INF/OF,L
Gilberto Celestino,https://www.fangraphs.com/players/gilberto-celestino/20233/,twins,MIN,OF,R
Kyle Garlick,https://www.fangraphs.com/players/kyle-garlick/18063/,twins,MIN,OF,R
Joe Ryan,https://www.fangraphs.com/players/joe-ryan/21390/,twins,MIN,SP,R
Sonny Gray,https://www.fangraphs.com/players/sonny-gray/12768/,twins,MIN,SP,R
Devin Smeltzer,https://www.fangraphs.com/players/devin-smeltzer/19487/,twins,MIN,SP,L
Dylan Bundy,https://www.fangraphs.com/players/dylan-bundy/12917/,twins,MIN,SP,R
Jhoan Duran,https://www.fangraphs.com/players/jhoan-duran/21029/,twins,MIN,RP,R
Tyler Duffey,https://www.fangraphs.com/players/tyler-duffey/13758/,twins,MIN,RP,R
Griffin Jax,https://www.fangraphs.com/players/griffin-jax/20253/,twins,MIN,RP,R
Caleb Thielbar,https://www.fangraphs.com/players/caleb-thielbar/10078/,twins,MIN,RP,L
Joe Smith,https://www.fangraphs.com/players/joe-smith/3281/,twins,MIN,RP,R
Emilio Pagán,https://www.fangraphs.com/players/emilio-pagan/14771/,twins,MIN,RP,R
Jovani Moran,https://www.fangraphs.com/players/jovani-moran/20422/,twins,MIN,RP,L
Trevor Megill,https://www.fangraphs.com/players/trevor-megill/17722/,twins,MIN,RP,R
Jharel Cotton,https://www.fangraphs.com/players/jharel-cotton/13654/,twins,MIN,RP,R
Miguel Sanó,https://www.fangraphs.com/players/miguel-sano/12164/,twins,MIN,1B,R
