last_name, first_name,player_id,year,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,groundballs_percent,flyballs_percent,
Locastro, Tim,641796,2022,84.4,0.3,11.1,55.6,22.2,
Mancini III, Trey,641820,2022,89.9,11.9,10.8,37.9,26.3,
McKinney, Billy,641856,2022,83.8,17.4,5.4,40.5,35.1,
McMahon, Ryan,641857,2022,91.4,12,9.2,42.5,27.1,
Neuse, Sheldon,641914,2022,89.5,1.9,3.2,62.8,14.7,
O'Neill, Tyler,641933,2022,88.8,11.8,9.4,41.9,19.7,
Smith, Dominic,642086,2022,89.3,11.7,5.6,45.6,28.9,
Tellez, Rowdy,642133,2022,91.1,14.9,12.5,40.2,30.4,
VanMeter, Josh,642165,2022,87.8,14.2,5.1,40.8,32.7,
Wade, Tyler,642180,2022,83.9,11.5,1.7,49.6,20.2,
White, Eli,642201,2022,86.4,21.5,4.6,41.5,29.2,
Mejia, Francisco,642336,2022,86.6,11.4,4.2,44.1,22,
Siri, Jose,642350,2022,89.1,15.6,7.1,44.7,29.4,
Barrera, Luis,642456,2022,87.1,5.1,3.3,54.1,21.3,
Rosario, Amed,642708,2022,88,4.7,3.7,54.8,14.8,
Adames, Willy,642715,2022,89.9,20.6,15.3,33,36.9,
Gutierrez, Kelvin,642721,2022,89.6,5.9,5,60,20,
Alcantara, Sergio,642727,2022,87,13.1,2.7,41.1,32.9,
Estrada, Thairo,642731,2022,86.5,5,3.3,56.1,17.3,
Wynns, Austin,642851,2022,81.2,10.5,2.3,43.2,27.3,
Benintendi, Andrew,643217,2022,89.3,10.8,4.5,46.2,24.8,
Cooper, Garrett,643265,2022,90.3,8.8,10.2,45.4,25.9,
Dubon, Mauricio,643289,2022,83.8,18.1,3.4,40.7,32.2,
Jansen, Danny,643376,2022,89,22.1,21.3,36.2,42.6,
Kemp, Tony,643393,2022,83.8,16.3,0.9,43.7,26.8,
Kiner-Falefa, Isiah,643396,2022,86,5.5,0.4,54.7,16.1,
McNeil, Jeff,643446,2022,87,12.7,1.8,43.8,23.5,
Schwindel, Frank,643524,2022,87.9,12.3,5.5,43.6,22.7,
Chang, Yu,644374,2022,89.3,19,9.4,31.3,43.8,
Albies, Ozzie,645277,2022,87.1,16.7,5.5,38.5,31.5,
Robles, Victor,645302,2022,82.2,14.8,3.5,47.9,16.7,
Herrera, Jose,645444,2022,84.8,4.2,0,65.7,11.9,
Ford, Mike,645801,2022,93.1,17.9,4.3,43.5,13,
Devers, Rafael,646240,2022,93.8,10.9,12.6,43.7,23.4,
Naylor, Josh,647304,2022,89.9,12.4,9.4,45,24.6,
Toro, Abraham,647351,2022,87.5,17,7.4,37.9,35.3,
Diaz, Aledmys,649557,2022,86.4,11.5,5.2,40.3,23.1,
Urias, Luis,649966,2022,86.9,16.5,8,39.5,32.7,
Diaz, Lewin,650331,2022,94,28.3,20,0,40,
Arraez, Luis,650333,2022,89,10.5,4.2,45.6,23.6,
Palacios, Jermaine,650339,2022,89.5,6,5.3,52.6,15.8,
Jimenez, Eloy,650391,2022,92.6,5.7,10.3,53.8,25.6,
Torres, Gleyber,650402,2022,91.7,19.4,10.3,32.7,35,
Castro, Willi,650489,2022,83.2,13.1,1.9,43.5,24.8,
Diaz, Yandy,650490,2022,91.5,6.5,3,52.4,16.3,
De La Cruz, Bryan,650559,2022,89.8,9.1,9.5,44.4,20.6,
Viloria, Meibrys,650619,2022,82.7,-3.9,0,83.3,16.7,
Rengifo, Luis,650859,2022,87.5,12.8,4.7,41.2,23.6,
Pinto, Rene,650907,2022,90,15.8,3.6,46.4,42.9,
Adams, Riley,656180,2022,89.8,14.7,9.6,44.2,26.9,
Bradley, Bobby,656252,2022,87.5,2.7,0,62.5,12.5,
Chapman, Matt,656305,2022,92.4,21.7,12.6,32.4,32.4,
Chavis, Michael,656308,2022,85.8,13.2,9.1,41.5,20.7,
Dunand, Joe,656388,2022,85.9,40.1,0,14.3,57.1,
Ellis, Drew,656403,2022,88.4,9.4,0,44.4,11.1,
Fairchild, Stuart,656413,2022,84.5,7.7,0,50,50,
Harrison, Monte,656509,2022,103,8.7,33.3,66.7,33.3,
Haseley, Adam,656514,2022,84,-14.7,0,86.7,0,
Hill, Derek,656537,2022,85.2,6.6,3.4,54.2,16.9,
Hilliard, Sam,656541,2022,91.6,13.9,11.3,45,27.5,
Hoskins, Rhys,656555,2022,90.2,17.9,12.3,36,31.6,
Jackson, Alex,656577,2022,79.7,17,0,40,20,
Joe, Connor,656582,2022,85.3,11.3,4.7,44.7,19.6,
Kolozsvary, Mark,656627,2022,90.7,-0.1,0,50,0,
Luplow, Jordan,656669,2022,88.7,16.7,11.8,37.6,37.6,
Matijevic, J.J.,656695,2022,94.5,16.7,6.3,31.3,31.3,
Mullins II, Cedric,656775,2022,88.9,18.9,5.4,38.1,27.3,
O'Hearn, Ryan,656811,2022,89.9,7.4,2.2,62.2,8.9,
Padlo, Kevin,656821,2022,95,15.6,0,38.5,30.8,
Rivera, Emmanuel,656896,2022,90.7,8.7,10.1,46.5,24,
Schwarber, Kyle,656941,2022,92.9,18.2,21.6,36.5,36.1,
Smith, Pavin,656976,2022,88.9,15.6,11.8,43.4,30.9,
Thomas, Lane,657041,2022,86.8,11.1,6.6,43.4,21.4,
Tucker, Cole,657061,2022,82.4,4.8,7.9,47.4,23.7,
Verdugo, Alex,657077,2022,89,6.9,6,49.8,21.6,
Alvarez, Eddy,657193,2022,88,10.3,0,55.6,27.8,
DeJong, Paul,657557,2022,86.8,22.7,5.7,37.7,35.8,
Laureano, Ramon,657656,2022,88.9,11.5,10.6,51.7,25.2,
Papierski, Michael,657709,2022,79.9,3.8,0,54.5,22.7,
Sheets, Gavin,657757,2022,88.2,14.8,7.4,39.6,20.1,
Olivares, Edward,658668,2022,90.7,5.3,8.3,48.3,21.7,
Moncada, Yoan,660162,2022,88.5,14.3,7.3,45,33.9,
Ohtani, Shohei,660271,2022,92.8,12,18.5,43.1,30.2,
Tsutsugo, Yoshi,660294,2022,89.3,11.8,6,44,23,
Arauz, Jonathan,660620,2022,87.2,9.3,4,40,12,
Hernandez, Yonny,660634,2022,82.3,-12.5,0,77.3,4.5,
Castillo, Diego,660636,2022,89.4,14,11.5,42.3,35.9,
Brujan, Vidal,660644,2022,85.7,12.4,1.9,50,19.2,
Acuna Jr., Ronald,660670,2022,91.3,12.5,15.4,45.5,25.6,
Ruiz, Keibert,660688,2022,87.8,14.9,3.6,37.6,24,
Montero, Elehuris,660707,2022,93.6,21.8,15.8,15.8,47.4,
Gonzalez, Oscar,660757,2022,90.4,4.1,5.2,54.2,15.6,
Yepez, Juan,660766,2022,87.5,18.2,10.2,35,33.1,
Sanchez, Jesus,660821,2022,89.5,10.5,10.6,48,27.4,
Park, Hoy,660829,2022,85.4,10.4,10.3,53.8,33.3,
